,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,max,max,max,max,max,max
,K,N,P,humidity,rainfall,temperature,K,N,P,humidity,rainfall,temperature,K,N,P,humidity,rainfall,temperature
label,,,,,,,,,,,,,,,,,,
apple,199.89,20.8,134.22,92.3333828756,112.654779275,22.6309424132,195,0,120,90.02575116,100.1173443,21.0365275,205,40,145,94.92048112,124.9831618,23.99686172
banana,50.05,100.23,82.01,80.35812258109999,104.6269804001,27.3767983057,45,80,70,75.03193255,90.10978128,25.01018457,55,120,95,84.97849241,119.84797,29.90888522
blackgram,19.24,40.02,67.47,65.1184255887,67.8841511832,29.9733396789,15,20,55,60.06534859,60.41790253,25.09737391,25,60,80,69.96100028,74.91559514,34.9466155
chickpea,79.92,40.09,67.79,16.8604394237,80.0589772605,18.8728467519,75,20,55,14.25803981,65.11365631,17.02498456,85,60,80,19.96978871,94.78189594,20.99502153
coconut,30.59,21.98,16.93,94.84427180610001,175.686645804,27.4098921723,25,0,5,90.01734526,131.09000759999998,25.00872392,35,40,30,99.98187601,225.6323656,29.8690834
coffee,29.94,101.2,28.74,58.8698463003,158.066294882,25.5404768193,25,80,15,50.04557009,115.1564012,23.05951896,35,120,40,69.94807345,199.4735636,27.92374437
cotton,19.56,117.77,46.24,79.8434742538,80.3980431193,23.988957895200002,15,100,35,75.00539324,60.65381719,22.00085141,25,140,60,84.87668973,99.93100821,25.99237426
grapes,200.11,23.18,132.53,81.8752275212,69.611828886,23.849575120049998,195,0,120,80.01639435,65.01095312,8.825674745,205,40,145,83.98351748,74.91506217,41.94865736
jute,39.99,78.4,46.86,79.6398642063,174.792797536,24.9583758265,35,60,35,70.88259632,150.2355238,23.09433785,45,100,60,89.89106506,199.83629130000003,26.98582182
kidneybeans,20.05,20.75,67.54,21.6053567295,105.91977754210001,20.1150846851,15,0,55,18.09224048,60.27552528,15.33042636,25,40,80,24.96969858,149.7441028,24.92360104
lentil,19.41,18.77,68.36,64.8047846785,45.680454204,24.509052402600002,15,0,55,60.09116626,35.03484812,18.06486101,25,40,80,69.92375891,54.93937710000001,29.94413861
maize,19.79,77.76,48.44,65.0922494467,84.766987663,22.3892039102,15,60,35,55.28220433,60.65171481,18.04185513,25,100,60,74.82913698,109.7515385,26.54986394
mango,29.92,20.07,27.18,50.1565726953,94.70451504479999,31.2087701513,25,0,15,45.02236377,89.29147581,27.00315545,35,40,40,54.9640534,100.8124659,35.99009679
mothbeans,20.23,21.44,48.01,53.16041802790001,51.198487045700006,28.1949204842,15,0,35,40.00933429,30.92014047,24.01825377,25,40,60,64.95585424,74.44330654,31.99928579
mungbean,19.87,20.99,47.28,85.49997454300001,48.403600902899996,28.5257747353,15,0,35,80.03499648,36.12042927,27.01470397,25,40,60,89.99615558,59.87232071,29.914544300000006
muskmelon,50.08,100.32,17.72,92.34280196089999,24.689952066,28.663065756,45,80,5,90.01506395,20.21126747,27.02415146,55,120,30,94.96218673,29.86681385,29.94349168
orange,10.01,19.58,16.55,92.17020876340001,110.47496871999999,22.7657254967,5,0,5,90.00621688,100.1737964,10.01081312,15,40,30,94.96419851,119.6946577,34.90665289
papaya,50.04,49.88,59.05,92.4033876826,142.6278388629,33.7238587388,45,31,46,90.03863107,40.35153141,23.012401800000006,55,70,70,94.94482086,248.8592986,43.67549305
pigeonpeas,20.29,20.73,67.73,48.0616330847,149.4575638135,27.7417622259,15,0,55,30.40046769,90.05422663,18.31910448,25,40,80,69.69141302,198.8298806,36.97794384
pomegranate,40.21,18.87,18.75,90.1255037895,107.52844239699999,21.837841721999997,35,0,5,85.12912161,102.5184759,18.07132963,45,40,30,94.99897537,112.4750941,24.96273236
rice,39.87,79.89,47.58,82.2728215389,236.181113594,23.6893322105,35,60,35,80.12267476,182.5616319,20.0454142,45,99,60,84.96907151,298.5601175,26.92995077
watermelon,50.22,99.42,17.0,85.16037529360001,50.7862189449,25.591767237499997,45,80,5,80.02621335,40.12650421,24.04355803,55,120,30,89.98405233,59.75980023,26.98603693
