label,K,N,P
apple,199.89,20.8,134.22
banana,50.05,100.23,82.01
blackgram,19.24,40.02,67.47
chickpea,79.92,40.09,67.79
coconut,30.59,21.98,16.93
coffee,29.94,101.2,28.74
cotton,19.56,117.77,46.24
grapes,200.11,23.18,132.53
jute,39.99,78.4,46.86
kidneybeans,20.05,20.75,67.54
lentil,19.41,18.77,68.36
maize,19.79,77.76,48.44
mango,29.92,20.07,27.18
mothbeans,20.23,21.44,48.01
mungbean,19.87,20.99,47.28
muskmelon,50.08,100.32,17.72
orange,10.01,19.58,16.55
papaya,50.04,49.88,59.05
pigeonpeas,20.29,20.73,67.73
pomegranate,40.21,18.87,18.75
rice,39.87,79.89,47.58
watermelon,50.22,99.42,17.0
